user_id,shelf,isbn,title,author,num_pages,publication_year,publisher,my_rating,average_rating,ratings_count,links
40732498,read,8449318793,Coaching para escribir/ Coaching for Writers: como evaluar tu obra para ser un mejor escritor/How to Evaluate Your Work to Be a Better Writer (Manuales De Escritura),Sergio Bulat,,2006-01-01,,,3.86,3.86,www.goodreads.com/book/show/6720544-coaching-para-escribir-coaching-for-writers
40732498,read,8433913921,La cocina de la escritura,Daniel Cassany,264.0,2004-01-01,Anagrama,4.0,3.71,3.71,www.goodreads.com/book/show/5666499-la-cocina-de-la-escritura
40732498,read,,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,,,,,4.25,4.25,www.goodreads.com/book/show/36556202-the-coddling-of-the-american-mind
40732498,read,0156186004,A Collection of Essays,George Orwell,316.0,1981-01-01,Mariner Books,2.0,4.33,4.33,www.goodreads.com/book/show/9640.A_Collection_of_Essays
40732498,read,9500371944,Confieso que he vivido,Pablo Neruda,464.0,2003-01-01,Losada,3.0,4.2,4.2,www.goodreads.com/book/show/514185.Confieso_que_he_vivido
40732498,read,0316156116,Consider the Lobster and Other Essays,David Foster Wallace,343.0,2005-01-01,"Little, Brown and Company",2.0,4.21,4.21,www.goodreads.com/book/show/6751.Consider_the_Lobster_and_Other_Essays
40732498,read,8420637602,"Cosecha roja (El agente de la Continental, #1)",Dashiell Hammett,256.0,2000-01-01,Alianza Editorial,2.0,3.97,3.97,www.goodreads.com/book/show/4110872-cosecha-roja
40732498,read,0071401946,Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson,240.0,2002-01-01,McGraw-Hill Education,2.0,4.04,4.04,www.goodreads.com/book/show/15014.Crucial_Conversations
40732498,read,,"Crushing It!: How Great Entrepreneurs Build Their Business and Influence—and How You Can, Too",Gary Vaynerchuk,,,,1.0,4.08,4.08,www.goodreads.com/book/show/36045512-crushing-it
40732498,read,,Crónica de una muerte anunciada,Gabriel García Márquez,144.0,2008-01-01,,3.0,3.97,3.97,www.goodreads.com/book/show/31498504-cr-nica-de-una-muerte-anunciada
40732498,read,8445073850,Crónicas marcianas,Ray Bradbury,262.0,2002-01-01,Minotauro,4.0,4.14,4.14,www.goodreads.com/book/show/45956.Cr_nicas_marcianas
40732498,read,8466318488,Los cuadernos de don Rigoberto,Mario Vargas Llosa,336.0,2006-01-01,Punto de Lectura,5.0,3.7,3.7,www.goodreads.com/book/show/6075620-los-cuadernos-de-don-rigoberto
40732498,read,8437609593,Cuentos,Horacio Quiroga,364.0,2000-01-01,Ediciones Catedra S.A.,3.0,4.13,4.13,www.goodreads.com/book/show/501818.Cuentos
40732498,read,0307347990,"Cuentos Chinos: El engaño de Washington, la mentira populista y la esperanza de América Latina",Andrés Oppenheimer,352.0,2005-01-01,Sudamericana,2.0,3.88,3.88,www.goodreads.com/book/show/59306.Cuentos_Chinos
40732498,read,,Los culpables,Juan Villoro,128.0,2007-01-01,Almadía,2.0,3.69,3.69,www.goodreads.com/book/show/1973035.Los_culpables
40732498,read,,Curso de redacción pra escritores y periodistas,Beatriz Escalante,345.0,2013-01-01,Editorial Porrúa,3.0,4.16,4.16,www.goodreads.com/book/show/25544274-curso-de-redacci-n-pra-escritores-y-periodistas
40732498,read,8420672300,"La dama del lago (Philip Marlowe, #4)",Raymond Chandler,,,,3.0,4.07,4.07,www.goodreads.com/book/show/2649627-la-dama-del-lago
40732498,read,0099448769,Dance Dance Dance,Haruki Murakami,393.0,2002-01-01,Vintage,4.0,4.04,4.04,www.goodreads.com/book/show/17800.Dance_Dance_Dance
40732498,read,1455586692,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,296.0,2016-01-01,Grand Central Publishing,3.0,4.2,4.2,www.goodreads.com/book/show/25744928-deep-work
